function,reqID,start,finish,mergingPoint,host,duration
D,9,2022-06-08 06:01:01.361,2022-06-08 06:01:01.311,C,vm1,190
C,10,2022-06-08 06:01:01.111,2022-06-08 06:01:01.311,,vm1,190
C,11,2022-06-08 06:01:01.111,2022-06-08 06:01:01.311,,vm0,190
D,10,2022-06-08 06:01:01.361,2022-06-08 06:01:01.311,C,s,90
D,11,2022-06-08 06:01:01.361,2022-06-08 06:01:01.311,C,s,90
B,12,2022-06-08 06:00:55.061,2022-06-08 06:01:01.061,,vm0,190
D,12,2022-06-08 06:01:01.111,2022-06-08 06:01:01.211,B,s,90
B,13,2022-06-08 06:00:55.061,2022-06-08 06:01:01.061,,vm0,190
D,13,2022-06-08 06:01:01.111,2022-06-08 06:01:01.211,B,vm0,190
B,14,2022-06-08 06:00:55.061,2022-06-08 06:01:01.061,,s,90
D,14,2022-06-08 06:01:01.111,2022-06-08 06:01:01.211,B,vm0,190
B,15,2022-06-08 06:00:55.061,2022-06-08 06:01:01.061,,vm1,190
D,15,2022-06-08 06:01:01.111,2022-06-08 06:01:01.211,B,s,90
B,16,2022-06-08 06:00:55.061,2022-06-08 06:01:01.061,,vm1,190
D,16,2022-06-08 06:01:01.111,2022-06-08 06:01:01.211,B,vm1,190
B,17,2022-06-08 06:00:55.061,2022-06-08 06:01:01.061,,s,90
D,17,2022-06-08 06:01:01.111,2022-06-08 06:01:01.211,B,vm1,190
B,18,2022-06-08 06:00:55.061,2022-06-08 06:01:01.061,,vm0,190
D,18,2022-06-08 06:01:01.111,2022-06-08 06:01:01.211,B,vm1,190
B,19,2022-06-08 06:00:55.061,2022-06-08 06:01:01.061,,vm1,190
D,19,2022-06-08 06:01:01.111,2022-06-08 06:01:01.211,B,vm0,190
A,20,2022-06-08 06:00:55.061,2022-06-08 06:01:01.061,,vm0,190
C,20,2022-06-08 06:01:01.111,2022-06-08 06:01:01.211,,s,90
A,21,2022-06-08 06:00:55.061,2022-06-08 06:01:01.061,,vm0,190
C,21,2022-06-08 06:01:01.111,2022-06-08 06:01:01.211,,vm0,190
A,22,2022-06-08 06:00:55.061,2022-06-08 06:01:01.061,,s,90
C,22,2022-06-08 06:01:01.111,2022-06-08 06:01:01.211,,vm0,190
A,23,2022-06-08 06:00:55.061,2022-06-08 06:01:01.061,,vm1,190
C,23,2022-06-08 06:01:01.111,2022-06-08 06:01:01.211,,s,90
A,24,2022-06-08 06:00:55.061,2022-06-08 06:01:01.061,,vm1,190
C,24,2022-06-08 06:01:01.111,2022-06-08 06:01:01.211,,vm1,190
A,25,2022-06-08 06:00:55.061,2022-06-08 06:01:01.061,,s,90
C,25,2022-06-08 06:01:01.111,2022-06-08 06:01:01.211,,vm1,190
A,26,2022-06-08 06:00:55.061,2022-06-08 06:01:01.061,,vm0,190
C,26,2022-06-08 06:01:01.111,2022-06-08 06:01:01.211,,vm1,190
A,27,2022-06-08 06:00:55.061,2022-06-08 06:01:01.061,,vm1,190
C,27,2022-06-08 06:01:01.111,2022-06-08 06:01:01.211,,vm0,190
